E_mm_a,E_mm_n_left,E_mm_n_right
-1.3870000000000664,-1.99,2.5
-1.3860000000000665,-1.99,2.5
-1.3850000000000666,-1.99,2.5
-1.3840000000000667,-1.99,2.5
-1.3830000000000668,-1.99,2.5
-1.382000000000067,-1.99,2.5
-1.381000000000067,-1.99,2.5
-1.3800000000000672,-1.99,2.5
-1.3790000000000673,-1.99,2.5
-1.3780000000000674,-1.99,2.5
-1.3770000000000675,-1.99,2.5
-1.3760000000000676,-1.99,2.5
-1.3750000000000677,-1.99,2.5
-1.3740000000000678,-1.99,2.5
-1.373000000000068,-1.99,2.5
-1.372000000000068,-1.99,2.5
-1.3710000000000682,-1.99,2.5
-1.3700000000000683,-1.99,2.5
-1.3690000000000684,-1.99,2.5
-1.3680000000000685,-1.99,2.5
-1.3670000000000686,-1.99,2.5
-1.3660000000000687,-1.99,2.5
-1.3650000000000688,-1.99,2.5
-1.364000000000069,-1.99,2.5
-1.363000000000069,-1.99,2.5
-1.3620000000000692,-1.99,2.5
-1.3610000000000693,-1.99,2.5
-1.3600000000000694,-1.99,2.5
-1.3590000000000695,-1.99,2.5
-1.3580000000000696,-1.99,2.5
-1.3570000000000697,-1.99,2.5
-1.3560000000000698,-1.99,2.5
-1.35500000000007,-1.99,2.5
-1.35400000000007,-1.99,2.5
-1.3530000000000701,-1.99,2.5
-1.3520000000000703,-1.99,2.5
-1.3510000000000704,-1.99,2.5
-1.3500000000000705,-1.99,2.5
-1.3490000000000706,-1.99,2.5
-1.3480000000000707,-1.99,2.5
-1.3470000000000708,-1.99,2.5
-1.346000000000071,-1.99,2.5
-1.345000000000071,-1.99,2.5
-1.3440000000000711,-1.99,2.5
-1.3430000000000712,-1.99,2.5
-1.3420000000000714,-1.99,2.5
-1.3410000000000715,-1.99,2.5
-1.3400000000000716,-1.99,2.5
-1.3390000000000717,-1.99,2.5
-1.3380000000000718,-1.99,2.5
-1.337000000000072,-1.99,2.5
-1.336000000000072,-1.99,2.5
-1.3350000000000721,-1.99,2.5
-1.3340000000000722,-1.99,2.5
-1.3330000000000723,-1.99,2.5
-1.3320000000000725,-1.99,2.5
-1.3310000000000726,-1.99,2.5
-1.3300000000000727,-1.99,2.5
-1.3290000000000728,-1.99,2.5
-1.328000000000073,-1.99,2.5
-1.327000000000073,-1.99,2.5
-1.3260000000000731,-1.99,2.5
-1.3250000000000732,-1.99,2.5
-1.3240000000000733,-1.99,2.5
-1.3230000000000735,-1.99,2.5
-1.3220000000000736,-1.99,2.5
-1.3210000000000737,-1.99,2.5
-1.3200000000000738,-1.99,2.5
-1.319000000000074,-1.99,2.5
-1.318000000000074,-1.99,2.5
-1.3170000000000741,-1.99,2.5
-1.3160000000000742,-1.99,2.5
-1.3150000000000743,-1.99,2.5
-1.3140000000000744,-1.99,2.5
-1.3130000000000746,-1.99,2.5
-1.3120000000000747,-1.99,2.5
-1.3110000000000748,-1.99,2.5
-1.3100000000000749,-1.99,2.5
-1.309000000000075,-1.99,2.5
-1.308000000000075,-1.99,2.5
-1.3070000000000752,-1.99,2.5
-1.3060000000000753,-1.99,2.5
-1.3050000000000754,-1.99,2.5
-1.3040000000000755,-1.99,2.5
-1.3030000000000757,-1.99,2.5
-1.3020000000000758,-1.99,2.5
-1.3010000000000759,-1.99,2.5
-1.300000000000076,-1.99,2.5
-1.299000000000076,-1.99,2.5
-1.2980000000000762,-1.99,2.5
-1.2970000000000763,-1.99,2.5
-1.2960000000000764,-1.99,2.5
-1.2950000000000765,-1.99,2.5
-1.2940000000000766,-1.99,2.5
-1.2930000000000768,-1.99,2.5
-1.2920000000000769,-1.99,2.5
-1.291000000000077,-1.99,2.5
-1.290000000000077,-1.99,2.5
-1.2890000000000772,-1.99,2.5
-1.2880000000000773,-1.99,2.5
-1.2870000000000774,-1.99,2.5
-1.2860000000000775,-1.99,2.5
-1.2850000000000776,-1.99,2.5
-1.2840000000000777,-1.99,2.5
-1.2830000000000779,-1.99,2.5
-1.282000000000078,-1.99,2.5
-1.281000000000078,-1.99,2.5
-1.2800000000000782,-1.99,2.5
-1.2790000000000783,-1.99,2.5
-1.2780000000000784,-1.99,2.5
-1.2770000000000785,-1.99,2.5
-1.2760000000000786,-1.99,2.5
-1.2750000000000787,-1.99,2.5
-1.2740000000000788,-1.99,2.5
-1.273000000000079,-1.99,2.5
-1.272000000000079,-1.99,2.5
